"Categoria";"Decorrenza";"Scadenza";"Stato File";"Anno Scadenza";"Anno Stipula";"Tipologia";"Anno Decorrenza";"Codice CCNL";"Stipula";"Ultimo vigente";
"CENTRI DI ELABORAZIONE DATI;CENTRI DI ELABORAZIONE DATI";"01/05/2007";"30/04/2011";"C";"2011";"2007";"Testo definitivo";"2007";"H631070";"01/05/2007";"SI";
"RETIFICI DA PESCA";"01/07/1987";"31/03/1991";"C";"1991";"1987";"Testo definitivo";"1987";"D411870";"01/06/1987";"";
"PARRUCCHIERI: Artigiane";"01/06/1992";"31/12/1995";"C";"1995";"1992";"Testo definitivo";"1992";"H515921";"01/06/1992";"";
"COMMERCIO - CISAL (fino a 14 dipendenti)";"01/03/1995";"28/02/1999";"C";"1999";"1995";"Testo definitivo";"1995";"H019950";"01/06/1995";"";
"CENTRI DI ELABORAZIONE DATI";"27/03/1999";"26/03/2001";"C";"2001";"1999";"Economico 2. biennio";"1999";"H601991";"01/06/1999";"";
"TESSILI ABBIGLIAMENTO: Artigiane";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"D020000";"01/06/2000";"";
"PELLI E SUCCEDANEI: Artigiane";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"D119000";"01/06/2000";"";
"CALZATURE: Artigiane";"01/01/2000";"31/12/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"D129000";"01/06/2000";"";
"ENTI LIRICI";"01/01/1998";"31/12/2001";"C";"2001";"2000";"Testo definitivo";"1998";"G369001";"01/06/2000";"";
"CENTRI DI ELABORAZIONE DATI";"27/03/2001";"26/03/2005";"C";"2005";"2001";"Testo definitivo";"2001";"H601010";"01/06/2001";"";
"CASSA DEPOSITI E PRESTITI";"01/01/2002";"11/12/2003";"C";"2003";"2004";"Economico 2. biennio";"2002";"S421040";"01/06/2004";"";
"CONSORZI di Bonifica: Operai e Impiegati";"01/01/2004";"31/12/2007";"C";"2007";"2005";"Testo definitivo";"2004";"A131050";"01/06/2005";"";
"PONTIFICIA UNIVERSITA' GREGORIANA";"01/01/2002";"31/12/2005";"C";"2005";"2005";"Testo definitivo";"2002";"T281050";"01/06/2005";"";
"AUTOSTRADE E TRAFORI (Societa' e Consorzi Concessionari)";"01/01/2006";"31/12/2007";"C";"2007";"2006";"Economico 2. biennio";"2006";"I192";"01/06/2006";"";
"SANITA': Dipendenti AVIS";"01/01/2004";"31/12/2005";"C";"2005";"2006";"Economico 2. biennio";"2004";"T031060";"01/06/2006";"";
"Studi Professionali (Confprof Confsal)";"01/06/2009";"30/05/2012";"I";"2012";"2009";"Testo definitivo";"2009";"H446";"01/06/2009";"SI";
"CONSORZI di Bonifica: Operai e Impiegati";"01/01/2010";"31/12/2011";"I";"2011";"2010";"Economico 2. biennio";"2010";"A131";"01/06/2010";"";
"PANIFICAZIONE E ALIMENTARI";"01/06/2011";"31/05/2014";"C";"2014";"2011";"Testo definitivo";"2011";"E030";"01/06/2011";"SI";
"AUTOFERROTRANVIERI: Dirigenti";"01/01/1981";"31/12/1984";"C";"1984";"1981";"Accordo di rinnovo";"1981";"I012810";"01/07/1981";"";
"LAVANDERIE  TINTORIE ... : P.M.I.";"01/07/1991";"30/06/1995";"C";"1995";"1991";"Testo definitivo";"1991";"D0L8910";"01/07/1991";"";
"PELLI E SUCCEDANEI: P.M.I.";"01/07/1991";"30/06/1995";"C";"1995";"1991";"Testo definitivo";"1991";"D118910";"01/07/1991";"";
"PANIFICAZIONE: Artigiane";"01/07/1991";"30/11/1994";"C";"1994";"1991";"Testo definitivo";"1991";"E025910";"01/07/1991";"";
"TESSILI ABBIGLIAMENTO - CALZE E MAGLIE: Industrie";"01/07/1995";"30/06/1999";"C";"1999";"1995";"Accordo di rinnovo";"1995";"D012950";"01/07/1995";"";
"LAVANDERIE  TINTORIE ... : P.M.I.";"01/07/1995";"30/06/1999";"C";"1999";"1995";"Testo definitivo";"1995";"D0L8950";"01/07/1995";"";
"FARMACIE MUNICIPALIZZATE";"01/07/1995";"30/06/1999";"C";"1999";"1995";"Accordo di rinnovo";"1995";"H124950";"01/07/1995";"";
"FARMACIE MUNICIPALIZZATE";"01/07/1995";"30/06/1999";"C";"1999";"1995";"Testo definitivo";"1995";"H124951";"01/07/1995";"";
"AGENZIE MARITTIME E AEREE: Dirigenti";"01/01/1997";"31/12/1998";"C";"1998";"1997";"Economico 2. biennio";"1997";"I491970";"01/07/1997";"";
"RECAPITO CORRISPONDENZA";"01/01/1997";"31/12/1998";"C";"1998";"1997";"Economico 2. biennio";"1997";"V311970";"01/07/1997";"";
"EDITORIE E GRAFICA (Fotografi ed Affini): Artigiane";"01/07/1997";"30/06/2001";"C";"2001";"1998";"Testo definitivo";"1997";"G015981";"01/07/1998";"";
"SCUOLE PRIVATE (Istituti Ecclesiastici - AGIDAE)";"01/01/1998";"31/12/2001";"C";"2001";"1999";"Testo definitivo";"1998";"T241990";"01/07/1999";"";
"AEREI: Piloti Compagnie a PPSS";"01/01/1998";"31/12/2000";"C";"2000";"1999";"Economico 2. biennio";"1998";"I811990";"01/07/1999";"SI";
"MARITTIMI: Uffici e Terminals";"01/07/2003";"31/12/2006";"C";"2006";"2003";"Accordo di rinnovo";"2003";"I731030";"01/07/2003";"";
"PELLI E SUCCEDANEI: Industrie";"01/04/2008";"31/03/2012";"C";"2012";"2008";"Accordo di rinnovo";"2008";"D111";"01/07/2008";"";
"PELLI E SUCCEDANEI: Industrie";"01/04/2008";"31/03/2012";"C";"2012";"2008";"Accordo di rinnovo";"2008";"D111";"01/07/2008";"";
"PELLI E SUCCEDANEI: Industrie";"01/04/2008";"31/03/2012";"C";"2012";"2008";"Testo definitivo";"2008";"D111";"01/07/2008";"";
"EDILI: P.M.I.";"01/06/2008";"31/12/2011";"C";"2011";"2008";"Accordo di rinnovo";"2008";"F018";"01/07/2008";"";
"EDILI: P.M.I.";"01/06/2008";"31/12/2011";"C";"2011";"2008";"Testo definitivo";"2008";"F018";"01/07/2008";"";
"PULIZIA: Igiene Urbana MUNICIPALIZZATE";"01/01/2007";"31/12/2010";"F";"2010";"2008";"Accordo di rinnovo";"2007";"K541";"01/07/2008";"";
"ANCI";"01/01/2008";"31/12/2011";"I";"2011";"2008";"Accordo di rinnovo";"2008";"T600";"01/07/2008";"SI";
"AGRICOLTURA: Dirigenti";"01/01/1990";"31/12/1992";"C";"1992";"1990";"Testo definitivo";"1990";"A031900";"01/08/1990";"";
"PROPRIETARI FABBRICATI (Dipendenti)";"01/01/1995";"31/12/1998";"C";"1998";"1995";"Testo definitivo";"1995";"H400950";"01/08/1995";"";
"SANITA': Personale non medico area privata";"01/01/1994";"31/12/1997";"C";"1997";"1995";"Accordo di rinnovo";"1994";"T011950";"01/08/1995";"";
"SCUOLA: Comparto PUBBLICO";"01/01/1996";"31/12/1997";"C";"1997";"1996";"Economico 2. biennio";"1996";"S321960";"01/08/1996";"";
"ELETTRICI";"";"";"C";"";"2001";"Verbale integrativo";"";"K051011";"01/08/2001";"";
"ELETTRICI";"";"";"C";"";"2001";"Verbale integrativo";"";"K051012";"01/08/2001";"";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/2002";"31/12/2005";"C";"2005";"2002";"Accordo di rinnovo";"2002";"A181020";"01/08/2002";"";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/2002";"31/12/2005";"C";"2005";"2002";"Testo definitivo";"2002";"A181021";"01/08/2002";"";
"COMMERCIO E SERVIZI (CONFTERZIARIO)";"01/09/2004";"31/08/2008";"C";"2008";"2006";"Economico 2. biennio";"2004";"H013060";"01/08/2006";"";
"AREA VI: Dirigenti (Ag. Fiscali - Enti Pubblici non economici)";"01/01/2002";"31/12/2005";"C";"2005";"2006";"Accordo di rinnovo";"2002";"S513060";"01/08/2006";"";
"AREA VI: Dirigenti (Ag. Fiscali - Enti Pubblici non economici)";"01/01/2004";"31/12/2005";"C";"2005";"2006";"Economico 2. biennio";"2004";"S513061";"01/08/2006";"";
"Acconciatura estetica tatuaggi Artigiani";"01/08/2010";"31/07/2013";"I";"2013";"2010";"Testo definitivo";"2010";"H530";"01/08/2010";"SI";
"FIORI (IMPORT-EXPORT)";"01/09/1988";"31/08/1991";"C";"1991";"1988";"Testo definitivo";"1988";"H201880";"01/09/1988";"";
"FERROVIE: Addetti ai Servizi in appalto";"";"";"C";"";"1995";"Verbale integrativo";"";"I361951";"01/09/1995";"";
"SANITA': Comparto Pubblico";"01/01/1994";"31/12/1997";"C";"1997";"1995";"Testo definitivo";"1994";"S211950";"01/09/1995";"";
"AEREI: Piloti della Compagnia MERIDIANA";"01/10/1983";"30/09/1987";"C";"1987";"1983";"Testo definitivo";"1983";"I814830";"01/10/1983";"";
"PULIZIA: Igiene Urbana MUNICIPALIZZATE";"01/08/1990";"31/07/1994";"C";"1994";"1991";"Testo definitivo";"1990";"K541910";"01/10/1991";"";
"IMPIANTI SPORTIVI (DIPENDENTI)";"01/07/1992";"30/06/1995";"C";"1995";"1992";"Testo definitivo";"1992";"H077920";"01/10/1992";"";
"CHIMICA E AFFINI (Piccola e Media Impresa)";"01/01/2003";"31/12/2003";"C";"2003";"2003";"Economico 2. biennio";"2003";"B018030";"01/10/2003";"";
"GOMMA E PLASTICA: P.M.I.";"01/01/2003";"31/12/2003";"C";"2003";"2003";"Economico 2. biennio";"2003";"B375030";"01/10/2003";"";
"EDILI: Artigiane";"01/10/2004";"31/12/2007";"C";"2007";"2004";"Testo definitivo";"2004";"F015040";"01/10/2004";"";
"ENTI PUBBLICI NON ECONOMICI";"01/01/2006";"31/12/2009";"C";"2009";"2007";"Accordo di rinnovo";"2006";"S511070";"01/10/2007";"SI";
"SCUOLE NON STATALI: ASILS UGL";"01/10/2007";"30/09/2011";"I";"2011";"2007";"Testo definitivo";"2007";"T245";"01/10/2007";"";
"SERVIZI ASSISTENZIALI: Personale ANPAS";"01/01/2008";"31/12/2009";"C";"2009";"2009";"Economico 2. biennio";"2008";"T171";"01/10/2009";"";
"SERVIZI ASSISTENZIALI: Personale MISERICORDIE";"01/01/2008";"31/12/2009";"C";"2009";"2009";"Economico 2. biennio";"2008";"T181";"01/10/2009";"";
"CINEMA: Tecnici e Maestranze";"01/11/1991";"30/04/1992";"C";"1992";"1991";"Economico 2. biennio";"1991";"G121910";"01/11/1991";"";
"ARTIGIANATO SERVIZI E AFFINI - CISAL";"01/11/1997";"31/10/1999";"C";"1999";"1997";"Testo definitivo";"1997";"HZ05970";"01/11/1997";"";
"AGENTI DI COMMERCIO: Artigiane";"01/10/1989";"31/12/1991";"C";"1991";"1989";"Testo definitivo";"1989";"H085890";"01/12/1989";"";
"ELETTRICI: Municipalizzate";"01/01/1991";"31/12/1994";"C";"1994";"1991";"Testo definitivo";"1991";"K021911";"01/12/1991";"";
"SIAE (SOCIETA' ITALIANA AUTORI ED EDITORI)";"";"";"C";"";"1997";"Verbale integrativo";"";"G411971";"01/12/1997";"";
"TELECOMUNICAZIONI";"01/01/1998";"31/12/1999";"C";"1999";"1997";"Verbale integrativo";"1998";"K411970";"01/12/1997";"";
"BANCARI: ABI (Dirigenti)";"01/12/2000";"31/12/2003";"C";"2003";"2000";"Testo definitivo";"2000";"J251000";"01/12/2000";"";
"PANIFICAZIONE: Aziende artigianali ed industriali";"01/07/2008";"31/12/2011";"I";"2011";"2009";"Accordo di rinnovo";"2008";"E023";"01/12/2009";"SI";
"PUBBLICITA (SIPRA PUBLICITAS)";"01/01/2009";"";"I";"";"2009";"Accordo di rinnovo";"2009";"G073";"01/12/2009";"SI";
"SERVIZI AL MARKETING OPERATIVO";"01/12/2009";"30/11/2012";"I";"2012";"2009";"Testo definitivo";"2009";"H680";"01/12/2009";"SI";
"DIPENDENTI ORGANIZZAZIONI SINDACALI";"01/01/2011";"31/12/2014";"C";"2014";"2010";"Testo definitivo";"2011";"V925";"01/12/2010";"SI";
"AUTOTRASPORTO E SPEDIZIONE MERCI (UNCI-CONFSAL)";"01/06/2010";"31/05/2013";"F";"2013";"2010";"Testo definitivo";"2010";"I140";"01/12/2010";"SI";
"FACCHINAGGIO (Appalti Monopolio di Stato)";"01/01/1980";"31/12/1982";"C";"1982";"1980";"Accordo di rinnovo";"1980";"ID21800";"02/01/1980";"";
"SANITA': Medici specialisti ambulatoriali";"01/01/1995";"31/12/1997";"C";"1997";"1996";"Testo definitivo";"1995";"S261960";"02/02/1996";"";
"SERVIZI POSTALI IN APPALTO";"01/01/1995";"31/12/1998";"C";"1998";"1996";"Testo definitivo";"1995";"V321960";"02/02/1996";"";
"ASSICURAZIONI: Dirigenti";"01/07/1997";"30/06/1999";"C";"1999";"1998";"Economico 2. biennio";"1997";"J111980";"02/02/1998";"";
"CHIMICA E AFFINI (Piccola e Media Impresa)";"01/01/2000";"31/12/2001";"C";"2001";"2000";"Economico 2. biennio";"2000";"B018000";"02/02/2000";"";
"TURISMO (AZIENDE FEDERTURISMO)";"01/01/2002";"31/12/2005";"C";"2005";"2004";"Accordo di rinnovo";"2002";"K451040";"02/02/2004";"";
"SCUOLA: Comparto PUBBLICO";"";"";"C";"";"2005";"Verbale integrativo";"";"S321050";"02/02/2005";"";
"CASSA DEPOSITI E PRESTITI SpA";"01/01/2004";"31/12/2005";"C";"2005";"2005";"Testo definitivo";"2004";"T521050";"02/02/2005";"";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/2010";"31/12/2012";"I";"2012";"2011";"Verbale Integrativo";"2010";"A181";"02/02/2011";"SI";
"LEGNO  ARREDAMENTO: Artigiane";"01/01/1993";"31/12/1996";"C";"1996";"1993";"Accordo di rinnovo";"1993";"F055930";"02/03/1993";"";
"LEGNO  ARREDAMENTO: Artigiane";"01/01/1993";"31/12/1996";"C";"1996";"1993";"Testo definitivo";"1993";"F055931";"02/03/1993";"";
"AGRICOLTURA: Cooperative e Consorzi Agricoli";"01/01/1994";"31/12/1997";"C";"1997";"1995";"Testo definitivo";"1994";"A016940";"02/03/1995";"";
"ISTITUZIONI E SERVIZI SOCIO-ASSISTENZIALI (ANASTE)";"01/01/2000";"31/12/2001";"C";"2001";"2001";"Economico 2. biennio";"2000";"T131010";"02/03/2001";"";
"CHIMICA E AFFINI (Piccola e Media Impresa)";"01/01/2002";"31/12/2005";"C";"2005";"2004";"Testo definitivo";"2002";"B018040";"02/03/2004";"";
"FUNIVIE TERRESTRI ED AEREE";"01/01/2007";"30/04/2010";"C";"2010";"2007";"Testo definitivo";"2007";"I911070";"02/03/2007";"";
"SCUOLA: Comparto PUBBLICO";"";"";"C";"";"2007";"Verbale Integrativo";"";"S321070";"02/03/2007";"";
"VIGILANZA: Cooperative";"01/03/2009";"29/02/2012";"C";"2012";"2009";"Testo definitivo";"2009";"HV20";"02/03/2009";"SI";
"POMPE FUNEBRI: Agenzie Private";"01/01/2007";"31/12/2008";"C";"2008";"2010";"Economico 2. biennio";"2007";"IB11";"02/03/2010";"";
"POMPE FUNEBRI: Agenzie Private";"01/01/2009";"31/12/2011";"C";"2011";"2010";"Accordo di rinnovo";"2009";"IB11";"02/03/2010";"SI";
"AGRICOLTURA  INDUSTRIA AGRICOLA  FORESTALE: cooperative";"01/03/2011";"28/02/2014";"C";"2014";"2011";"Testo definitivo";"2011";"A065";"02/03/2011";"SI";
"AUTOFERROTRANVIERI: Dirigenti";"01/01/1992";"30/06/1993";"C";"1993";"1992";"Economico 2. biennio";"1992";"I012920";"02/04/1992";"";
"MARITTIMI: Aliscafi e Natanti Veloci Passeggeri";"01/01/1991";"31/08/1994";"C";"1994";"1992";"Testo definitivo";"1991";"I611920";"02/04/1992";"";
"ELETTRICI: ENEL Dirigenti";"01/07/1991";"30/06/1993";"C";"1993";"1992";"Verbale integrativo";"1991";"K032920";"02/04/1992";"";
"ISTITUTO COMMERCIO ESTERO";"01/01/1996";"31/12/1997";"C";"1997";"1997";"Economico 2. biennio";"1996";"S611070";"02/04/1997";"";
"TERZIARIO  DISTRIBUZIONE E SERVIZI - CONFSAL ASCOP UNIMPRESA CONFEDIA";"01/05/2009";"30/04/2012";"F";"2012";"2009";"Testo definitivo";"2009";"H01D";"02/04/2009";"SI";
"STRUTTURE LABORATORISTICHE E AMBULATORIALI PRIVATE";"01/04/2009";"31/03/2012";"F";"2012";"2009";"Testo definitivo";"2009";"T158";"02/04/2009";"SI";
"VIGILANZA";"01/01/2005";"31/12/2008";"C";"2008";"2006";"Accordo di rinnovo";"2005";"HV17071";"02/05/2006";"SI";
"SOCCORSO E ASSISTENZA STRADALE";"";"";"C";"";"2007";"Verbale Integrativo";"";"IC81070";"02/05/2007";"";
"PENNE SPAZZOLE ... : Industrie";"";"";"C";"";"1994";"Verbale integrativo";"";"D241940";"02/06/1994";"";
"PANIFICAZIONE: (UNCI - UCICT)";"01/06/1995";"31/05/1999";"C";"1999";"1995";"Testo definitivo";"1995";"E026950";"02/06/1995";"";
"RADIO TELEVISIONE: Aziende private";"01/06/1995";"31/05/1999";"C";"1999";"1995";"Testo definitivo";"1995";"G099950";"02/06/1995";"";
"TERZIARO E SERVIZI - CNAI-UCICT";"01/06/1995";"31/05/1999";"C";"1999";"1995";"Testo definitivo";"1995";"H018";"02/06/1995";"";
"TURISMO - CISAL (fino a 14 dipendenti)";"01/04/1995";"31/03/1999";"C";"1999";"1995";"Verbale integrativo";"1995";"H055951";"02/06/1995";"";
"SANITA': Dipendenti ANFFAS";"01/01/1994";"31/12/1997";"C";"1997";"1995";"Testo definitivo";"1994";"T021950";"02/06/1995";"";
"MARITTIMI: Uffici e Terminals";"01/01/1997";"31/12/1998";"C";"1998";"1997";"Economico 2. biennio";"1997";"I731970";"02/06/1997";"";
"FONDAZIONE ENASARCO";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"T911981";"02/06/1998";"";
"PANIFICAZIONE: Industrie";"01/03/2000";"29/02/2004";"C";"2004";"2000";"Accordo di rinnovo";"2000";"E021000";"02/06/2000";"";
"PANIFICAZIONE: Industrie";"01/03/2000";"29/02/2004";"C";"2004";"2000";"Testo definitivo";"2000";"E021001";"02/06/2000";"";
"GOMMA E PLASTICA: Industrie";"01/01/2004";"31/12/2007";"C";"2007";"2004";"Accordo di rinnovo";"2004";"B371040";"02/06/2004";"";
"GOMMA E PLASTICA: Industrie";"01/01/2004";"31/12/2007";"C";"2007";"2004";"Testo definitivo";"2004";"B371041";"02/06/2004";"";
"PUBBLICITA': Produzione Audiovisivi";"01/01/1990";"30/06/1993";"C";"1993";"1990";"Testo definitivo";"1990";"G081900";"02/07/1990";"";
"GOMMA E PLASTICA: Industrie";"01/07/1992";"31/12/1995";"C";"1995";"1992";"Testo definitivo";"1992";"B371920";"02/07/1992";"";
"ENTI LIRICI";"01/01/1994";"31/12/1997";"C";"1997";"1996";"Accordo di rinnovo";"1994";"G369960";"02/07/1996";"";
"AGRICOLTURA: Cooperative e Consorzi Agricoli";"01/01/1998";"31/12/2001";"C";"2001";"1998";"Accordo di rinnovo";"1998";"A016980";"02/07/1998";"";
"AGRICOLTURA: Cooperative e Consorzi Agricoli";"01/01/1998";"31/12/2001";"C";"2001";"1998";"Testo definitivo";"1998";"A016981";"02/07/1998";"";
"ENTI PREVIDENZIALI PRIVATIZZATI: Dirigenti";"01/01/1998";"31/12/1999";"C";"1999";"1998";"Economico 2. biennio";"1998";"T412980";"02/07/1998";"";
"MARITTIMI: Tecnici e Amministrativi TELEMAR";"01/01/1999";"31/12/2000";"C";"2000";"1999";"Accordo di rinnovo";"1999";"I401990";"02/07/1999";"";
"COMMERCIO E SERVIZI";"01/01/2001";"31/12/2002";"C";"2002";"2001";"Economico 2. biennio";"2001";"H011012";"02/07/2001";"";
"COMMERCIO E SERVIZI";"";"";"C";"";"2001";"Verbale integrativo";"";"H011013";"02/07/2001";"";
"COMMERCIO: Cooperative di Consumo";"01/01/2001";"31/12/2002";"C";"2002";"2001";"Economico 2. biennio";"2001";"H016010";"02/07/2001";"";
"AEREI: Personale di Terra - servizi di catering";"01/01/2002";"31/12/2003";"C";"2003";"2002";"Economico 2. biennio";"2002";"I852020";"02/07/2002";"";
"CASSA DEPOSITI E PRESTITI";"01/01/1998";"31/12/2001";"C";"2001";"2002";"Testo definitivo";"1998";"S421020";"02/07/2002";"";
"CONSORZI di Bonifica: Operai e Impiegati";"01/01/2004";"31/12/2007";"C";"2007";"2004";"Accordo di rinnovo";"2004";"A131040";"02/07/2004";"";
"OMBRELLI OMBRELLONI ...: Industrie";"01/01/2004";"31/12/2007";"C";"2007";"2004";"Accordo di rinnovo";"2004";"D251040";"02/07/2004";"";
"COMMERCIO E SERVIZI";"01/01/2003";"31/12/2006";"C";"2006";"2004";"Accordo di rinnovo";"2003";"H011040";"02/07/2004";"";
"COMMERCIO E SERVIZI";"01/01/2003";"31/12/2006";"C";"2006";"2004";"Testo definitivo";"2003";"H011042";"02/07/2004";"";
"COMMERCIO: Cooperative di Consumo";"01/01/2003";"31/12/2006";"C";"2006";"2004";"Accordo di rinnovo";"2003";"H016040";"02/07/2004";"";
"CALZATURE: Industrie";"01/04/2008";"31/03/2012";"C";"2012";"2008";"Accordo di rinnovo";"2008";"D121";"02/07/2008";"";
"CALZATURE: Industrie";"01/04/2008";"31/03/2012";"C";"2012";"2008";"Accordo di rinnovo";"2008";"D121";"02/07/2008";"";
"RADIOTAXI";"01/06/2009";"31/05/2012";"C";"2012";"2009";"Testo definitivo";"2009";"IC52";"02/07/2009";"SI";
"CINEMA AUDIOVISIVI: Industrie";"01/01/2008";"31/12/2010";"F";"2010";"2009";"Accordo di rinnovo";"2008";"G111";"02/07/2009";"";
"AEREI: Tecnici di volo ALITALIA";"01/01/1988";"31/12/1993";"C";"1993";"1989";"Testo definitivo";"1988";"I883890";"02/08/1989";"";
"ENTI PUBBLICI NON ECONOMICI";"01/01/1988";"31/12/1990";"C";"1990";"1989";"Testo definitivo";"1988";"S511890";"02/08/1989";"";
"ACQUEDOTTI E GAS (Municipalizzate)";"01/01/1991";"31/12/1994";"C";"1994";"1991";"Testo definitivo";"1991";"K261910";"02/08/1991";"";
"AUTOTRASPORTI: Dirigenti";"01/01/1994";"31/12/1994";"C";"1994";"1994";"Accordo di rinnovo";"1994";"I112940";"02/08/1994";"";
"AGRICOLTURA: Dirigenti";"01/06/1995";"31/12/1996";"C";"1996";"1995";"Economico 2. biennio";"1995";"A031950";"02/08/1995";"";
"PULIZIA: Igiene Urbana PRIVATE";"01/01/1995";"31/12/1996";"C";"1996";"1995";"Accordo di rinnovo";"1995";"K531950";"02/08/1995";"";
"PULIZIA: Igiene Urbana PRIVATE";"01/01/1995";"31/12/1998";"C";"1998";"1995";"Testo definitivo";"1995";"K531951";"02/08/1995";"";
"ISTITUZIONI E SERVIZI SOCIO-ASSISTENZIALI";"01/01/1995";"31/12/1998";"C";"1998";"1995";"Testo definitivo";"1995";"T121950";"02/08/1995";"";
"ZOOTECNIA : Operai e Impiegati";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Accordo di rinnovo";"1999";"A221990";"02/08/1999";"";
"ZOOTECNIA : Operai e Impiegati";"01/01/1999";"31/12/2002";"C";"2002";"1999";"Testo definitivo";"1999";"A221991";"02/08/1999";"";
"AGENZIE MARITTIME E AEREE";"01/08/2000";"31/08/2003";"C";"2003";"2000";"Accordo di rinnovo";"2000";"I481000";"02/08/2000";"";
"SERVIZI ASSISTENZIALI: Personale MISERICORDIE";"01/01/2002";"31/12/2005";"C";"2005";"2004";"Testo definitivo";"2002";"T181";"02/08/2004";"SI";
"AGENZIA DEL DEMANIO";"01/10/2004";"30/09/2008";"F";"2008";"2004";"Testo definitivo";"2004";"T421";"02/08/2004";"SI";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/2006";"31/12/2009";"C";"2009";"2006";"Testo definitivo";"2006";"A181";"02/08/2006";"";
"SISTEMAZIONI IDRAULICO FORESTALI";"01/01/2006";"31/12/2009";"C";"2009";"2006";"Accordo di rinnovo";"2006";"A181060";"02/08/2006";"";
"TURISMO (CONFAZIENDA Turismo - CISAL Terziario)";"01/08/2012";"31/07/2015";"I";"2015";"2012";"Testo definitivo";"2012";"H047";"02/08/2012";"SI";
